txn_id,date,store_id,product_id,qty,unit_price,promo_applied,channel,payment_method,cust_id,gender,age,cust_region,cust_city,revenue
T00000001,2025-10-22,S001,P00009,2,624.63,0,In-Store,Cash,C008369,F,33.0,Mpumalanga,Nelspruit,1249.26
T00000002,2025-12-30,S024,P00178,2,86.62,0,In-Store,Card,C006635,M,48.0,North West,Rustenburg,173.24
T00000009,2025-08-24,S021,P00346,1,1378.23,0,In-Store,Card,C008393,F,32.0,North West,Rustenburg,1378.23
T00000020,2025-05-22,S011,P00018,4,459.35,0,In-Store,Card,C005780,F,20.0,Gauteng,Johannesburg,1837.4
T00000024,2025-05-24,S018,P00341,2,199.42,1,In-Store,Cash,,,,,,398.84
T00000032,2025-05-02,S003,P00079,4,1409.13,0,In-Store,Cash,C006140,M,38.0,North West,Rustenburg,5636.52
T00000037,2025-05-13,S025,P00275,1,656.71,0,Online,Card,,,,,,656.71
T00000042,2025-07-26,S006,P00309,3,330.16,0,In-Store,Cash,C011212,M,36.0,Limpopo,Polokwane,990.48
T00000043,2025-03-21,S024,P00387,4,321.28,1,In-Store,Card,C001077,F,32.0,Limpopo,Polokwane,1285.12
T00000044,2025-09-24,S020,P00332,3,437.31,0,In-Store,Card,,,,,,1311.93
T00000048,2025-06-02,S006,P00161,4,144.61,0,In-Store,EFT,C004315,F,16.0,Mpumalanga,Nelspruit,578.44
T00000051,2025-12-23,S016,P00092,2,874.53,0,In-Store,Cash,C002441,M,17.0,Gauteng,Pretoria,1749.06
T00000054,2025-05-20,S008,P00206,2,20.27,0,In-Store,Cash,C007948,M,16.0,North West,Rustenburg,40.54
T00000055,2025-05-13,S004,P00028,4,1111.78,0,In-Store,Card,C004440,M,41.0,Northern Cape,Kimberley,4447.12
T00000071,2025-11-29,S022,P00101,2,1134.3,1,In-Store,Card,,,,,,2268.6
T00000076,2025-11-30,S015,P00285,2,1143.44,1,Online,Card,,,,,,2286.88
T00000080,2025-04-01,S011,P00013,3,149.4,0,In-Store,EFT,C006339,M,29.0,KwaZulu-Natal,Pietermaritzburg,448.2
T00000083,2025-08-07,S001,P00037,3,566.31,0,In-Store,Card,,,,,,1698.93
T00000085,2025-02-03,S023,P00364,1,260.61,0,In-Store,Cash,C005717,F,26.0,Northern Cape,Kimberley,260.61
T00000086,2025-04-20,S005,P00188,2,756.17,0,In-Store,Card,C005477,M,24.0,North West,Rustenburg,1512.34
T00000087,2025-09-18,S005,P00094,4,83.87,0,In-Store,Card,C002085,F,20.0,Eastern Cape,Gqeberha,335.48
T00000093,2025-10-04,S003,P00213,1,262.62,1,In-Store,Cash,C006933,F,42.0,North West,Rustenburg,262.62
T00000094,2025-02-13,S016,P00080,4,141.49,0,In-Store,Cash,C003335,M,27.0,Free State,Bloemfontein,565.96
T00000097,2025-06-08,S015,P00119,4,140.64,0,In-Store,EFT,C004142,F,22.0,Free State,Bloemfontein,562.56
T00000107,2025-04-10,S025,P00314,4,67.77,0,Online,Cash,C009182,M,22.0,Northern Cape,Kimberley,271.08
T00000118,2025-05-07,S024,P00295,4,175.3,0,Click&Collect,Card,C009935,M,23.0,Gauteng,Pretoria,701.2
T00000128,2025-02-05,S001,P00382,1,7.31,0,In-Store,Card,C006692,F,34.0,Western Cape,Cape Town,7.31
T00000129,2025-06-10,S001,P00009,1,594.1,0,In-Store,Card,C008043,F,38.0,Eastern Cape,Gqeberha,594.1
T00000130,2025-07-03,S001,P00218,4,670.59,1,In-Store,Cash,C005310,F,30.0,Northern Cape,Kimberley,2682.36
T00000132,2025-10-05,S011,P00074,2,1447.09,0,In-Store,Card,,,,,,2894.18
T00000141,2025-01-03,S020,P00248,4,382.28,0,In-Store,Card,C007755,M,19.0,Eastern Cape,Gqeberha,1529.12
T00000142,2025-06-11,S024,P00315,1,374.16,0,In-Store,Card,C008970,F,46.0,Northern Cape,Kimberley,374.16
T00000150,2025-12-15,S008,P00249,3,233.86,0,In-Store,Card,C005478,M,31.0,North West,Rustenburg,701.58
T00000155,2025-08-22,S015,P00284,3,361.93,1,In-Store,Card,C006552,F,25.0,Gauteng,Johannesburg,1085.79
T00000156,2025-01-22,S025,P00374,4,1329.95,0,Online,Card,C002222,F,18.0,Western Cape,Stellenbosch,5319.8
T00000170,2025-03-19,S018,P00317,3,821.83,0,In-Store,EFT,C001542,F,29.0,Western Cape,Cape Town,2465.49
T00000174,2025-12-14,S011,P00228,2,53.17,1,Click&Collect,Card,C003553,F,41.0,Gauteng,Pretoria,106.34
T00000179,2025-02-05,S003,P00087,2,668.52,0,In-Store,Card,C004689,F,45.0,KwaZulu-Natal,Pietermaritzburg,1337.04
T00000181,2025-02-06,S025,P00004,4,657.74,0,In-Store,Cash,C008141,M,32.0,Western Cape,Cape Town,2630.96
T00000182,2025-12-01,S007,P00125,1,48.2,0,In-Store,Cash,C007652,F,16.0,Gauteng,Pretoria,48.2
T00000190,2025-06-12,S010,P00207,2,394.9,0,In-Store,EFT,C009125,M,35.0,Mpumalanga,Nelspruit,789.8
T00000191,2025-09-01,S004,P00388,4,476.4,0,In-Store,Card,C003576,M,47.0,Eastern Cape,Gqeberha,1905.6
T00000193,2025-12-10,S009,P00368,1,24.81,0,In-Store,Card,C007449,M,28.0,Northern Cape,Kimberley,24.81
