cust_id,gender,age,region,city,signup_date
C000001,M,46,North West,Rustenburg,2023-07-13
C000002,M,38,Eastern Cape,Gqeberha,2022-10-28
C000003,F,26,Eastern Cape,East London,2022-09-03
C000004,M,35,Free State,Bloemfontein,2021-12-20
C000005,M,39,Mpumalanga,Nelspruit,2020-06-26
C000006,M,33,Free State,Bloemfontein,2021-11-12
C000007,M,38,North West,Rustenburg,2024-06-17
C000008,X,43,Free State,Bloemfontein,2019-07-07
C000009,F,33,Northern Cape,Kimberley,2019-10-10
C000010,M,16,Northern Cape,Kimberley,2024-03-31
C000011,F,53,Eastern Cape,East London,2023-12-17
C000012,M,29,Mpumalanga,Nelspruit,2022-01-23
C000013,M,23,Free State,Bloemfontein,2021-02-26
C000014,F,20,North West,Rustenburg,2019-08-31
C000015,F,29,Mpumalanga,Nelspruit,2023-01-15
C000016,M,26,Eastern Cape,East London,2022-03-26
C000017,F,24,KwaZulu-Natal,Durban,2023-10-30
C000018,M,25,North West,Rustenburg,2021-03-05
C000019,F,39,Free State,Bloemfontein,2023-10-15
C000020,X,57,Mpumalanga,Nelspruit,2024-09-21
C000021,F,43,Mpumalanga,Nelspruit,2019-12-19
C000022,F,46,Western Cape,Cape Town,2023-08-03
C000023,M,28,KwaZulu-Natal,Pietermaritzburg,2022-08-30
C000024,M,34,Northern Cape,Kimberley,2021-06-12
C000025,F,38,KwaZulu-Natal,Pietermaritzburg,2020-04-14
C000026,F,25,North West,Rustenburg,2019-12-06
C000027,M,28,Eastern Cape,Gqeberha,2019-09-03
C000028,M,43,North West,Rustenburg,2020-08-05
C000029,F,46,Limpopo,Polokwane,2022-01-29
C000030,M,34,Gauteng,Pretoria,2022-03-24
C000031,M,19,KwaZulu-Natal,Durban,2024-12-02
C000032,M,29,Northern Cape,Kimberley,2023-06-12
C000033,M,16,Western Cape,Stellenbosch,2024-11-19
C000034,M,34,KwaZulu-Natal,Durban,2023-07-09
C000035,F,36,Western Cape,Cape Town,2022-06-09
C000036,M,30,Limpopo,Polokwane,2023-11-24
C000037,M,36,North West,Rustenburg,2023-08-19
