txn_id,date,store_id,product_id,qty,unit_price,promo_applied,channel,payment_method,cust_id
T00000001,2025/10/22,S001,P00009,2,624.63,0,In-Store,Cash,C008369
T00000002,2025/12/30,S024,P00178,2,86.62,0,In-Store,Card,C006635
T00000003,21-11-2025,S014,P00264,1,160.1,1,Online,Card,C009023
T00000004,06/27/2025,S016,P00086,2,22.24,1,Online,Card,C006973
T00000005,2025-05-24,S014,P00142,3,509.36,1,In-Store,Card,C008960
T00000006,06/16/2025,S013,P00179,1,930.99,0,In-Store,Card,C000404
T00000007,01-04-2025,S005,P00218,1,876.37,0,In-Store,Cash,C005958
T00000008,20-11-2025,S015,P00248,4,449.89,0,In-Store,Card,C004951
T00000009,2025/08/24,S021,P00346,1,1378.23,0,In-Store,Card,C008393
T00000010,2025-09-21,S003,P00285,2,1042.66,0,In-Store,Card,C004382
T00000011,17-02-2025,S010,P00146,1,736.8,0,In-Store,Cash,C010660
T00000012,12/12/2025,S024,P00343,4,1129.57,0,In-Store,Cash,C001209
T00000013,2025-11-11,S011,P00087,4,540.04,1,In-Store,Card,C002350
T00000014,25-07-2025,S005,P00317,1,1015.8,0,In-Store,Card,C011783
T00000015,2025-10-23,S025,P00112,3,1310.82,1,In-Store,Card,
T00000016,2025-01-22,S004,P00157,2,43.93,0,Click&Collect,Card,
T00000017,12/21/2025,S007,P00016,4,342.17,0,In-Store,Card,
T00000018,01/03/2025,S012,P00356,4,1024.63,0,In-Store,Card,C003243
T00000019,08-11-2025,S010,P00091,4,2244.65,0,In-Store,EFT,C006731
T00000020,2025/05/22,S011,P00018,4,459.35,0,In-Store,Card,C005780
T00000021,2025-03-11,S020,P00361,3,350.12,0,In-Store,Cash,C006383
T00000022,04/07/2025,S014,P00385,3,195.7,1,In-Store,Card,C001974
T00000023,24-02-2025,S012,P00051,4,223.31,0,Click&Collect,Card,C001001
T00000024,2025/05/24,S018,P00341,2,199.42,1,In-Store,Cash,
T00000025,08-03-2025,S016,P00133,1,0.0,0,Online,Card,C010709
T00000026,25-01-2025,S016,P00314,2,53.71,0,In-Store,EFT,
T00000027,05/21/2025,S012,P00052,4,44.67,0,In-Store,Cash,C002494
T00000028,06/03/2025,S014,P00010,2,1743.51,0,In-Store,Cash,C007404
T00000029,2025-12-01,S008,P00024,3,38.01,0,In-Store,EFT,C002869
T00000030,2025-06-30,S011,P00312,1,134.67,0,Online,Card,C002732
T00000031,01-01-2025,S005,P00152,4,94.34,0,Click&Collect,Cash,C011738
T00000032,2025/05/02,S003,P00079,4,1409.13,0,In-Store,Cash,C006140
T00000033,03/09/2025,S022,P00330,2,70.97,0,In-Store,Cash,C007230
T00000034,2025-02-25,S021,P00159,3,587.7,1,Click&Collect,Card,C000176
T00000035,02/02/2025,S007,P00016,4,278.26,0,In-Store,Card,C005091
T00000036,16-05-2025,S012,P00333,2,12.66,1,Online,Cash,C001174
T00000037,2025/05/13,S025,P00275,1,656.71,0,Online,Card,
T00000038,07-04-2025,S014,P00268,4,138.03,0,In-Store,Card,C011762
